,Layers,Training,Validation,Development,Test,Total
159,"(590,)",0.9982410073280334,0.9976905584335327,0.9981186985969543,0.9948453903198242,0.9973834156990051
160,"(105, 411, 802, 788, 805, 559, 532)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9942010045051575,0.998306930065155
161,"(502, 39, 282, 106, 130)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579651
162,"(141, 677, 305, 638, 449, 415, 193, 698, 78, 592)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579651
163,"(789, 88)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579651
164,"(339, 204, 435, 88, 352)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579651
165,"(333, 454, 489, 86, 455, 227)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579651
166,"(60, 121, 69, 393, 547, 804)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579651
167,"(170,)",0.998021125793457,0.9976905584335327,0.9979476928710938,0.9948453903198242,0.9972295165061951
168,"(693, 864, 135, 503, 91)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579651
169,"(777, 188, 222, 439, 537, 86)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9942010045051575,0.998306930065155
170,"(724, 683, 219, 668)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579651
171,"(533, 374, 228)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579651
172,"(240,)",0.9982410073280334,0.9976905584335327,0.9981186985969543,0.9948453903198242,0.9973834156990051
173,"(413, 92, 754, 857, 796, 271, 897, 454)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579651
174,"(633, 217, 102, 780, 751, 292, 821, 29)",0.9995602369308472,0.9984603524208069,0.9993159174919128,0.9935566782951355,0.9979990720748901
175,"(438, 499, 438, 599, 557)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579651
176,"(348,)",0.9982410073280334,0.9976905584335327,0.9981186985969543,0.9948453903198242,0.9973834156990051
177,"(872, 428, 374, 193)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579651
178,"(580, 277, 590, 547, 684, 514, 549, 417)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579651
179,"(801, 128, 250, 642, 721, 225, 151, 846)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579651
180,"(375, 461, 819, 575, 586, 214)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579651
181,"(165, 210, 318, 410, 604)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579651
182,"(601,)",0.9982410073280334,0.9976905584335327,0.9981186985969543,0.9948453903198242,0.9973834156990051
183,"(854,)",0.9982410073280334,0.9976905584335327,0.9981186985969543,0.9948453903198242,0.9973834156990051
184,"(833, 398, 802, 623, 528)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579651
185,"(38, 806)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579651
186,"(323, 853, 35, 589, 711)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579651
187,"(301, 660, 572, 725, 367)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579651
188,"(321, 371, 261, 700, 233, 843, 232, 858, 46, 364)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579651
189,"(682, 517, 130, 449, 292, 449, 488, 138, 583, 789)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579651
190,"(716,)",0.9982410073280334,0.9976905584335327,0.9981186985969543,0.9948453903198242,0.9973834156990051
191,"(834, 484, 16, 32, 239, 406)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579651
192,"(776, 331, 344, 808, 537)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579651
193,"(337, 458, 820, 264, 806)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579651
194,"(395, 304, 715, 175, 709, 275)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579651
195,"(713,)",0.9982410073280334,0.9976905584335327,0.9981186985969543,0.9948453903198242,0.9973834156990051
196,"(830, 294, 422, 393, 27, 84, 523, 702, 362, 335)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579651
197,"(50, 112, 864, 586, 305, 543, 92, 875, 400, 579)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579651
198,"(128,)",0.9982410073280334,0.9976905584335327,0.9981186985969543,0.9948453903198242,0.9973834156990051
199,"(115, 653, 352, 48, 780, 858, 475)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579651
200,"(322, 186, 787)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579651
201,"(844, 722, 486, 193, 484, 702)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579651
202,"(234, 349, 622, 337, 296, 344, 841, 684, 705)",0.9995602369308472,0.9992302060127258,0.9994869232177734,0.9948453903198242,0.9984608292579651
