Layers,Complexity,MSE Train,MSE Future,MSE Past,MSE Train and Test
"(7, 7, 8, 7, 7, 1)",247,0.07768740504980087,0.2068374305963516,0.09822046756744383,0.10050495713949203
"(7, 7, 7, 15, 1)",248,0.07544434070587157,0.3104822039604187,0.09620477259159088,0.11696963012218475
"(7, 10, 7, 10, 1)",248,0.07942676544189453,0.4712359011173248,0.09617225080728532,0.14864963293075562
"(7, 7, 11, 8, 1)",249,0.07808536291122438,0.3453446924686432,0.10122258216142654,0.12530353665351868
"(7, 9, 16, 1)",249,0.07810698449611664,0.29919543862342834,0.09479421377182007,0.11716796457767488
"(7, 10, 14, 1)",249,0.0788203775882721,0.22289499640464785,0.0943956822156906,0.10427481681108476
"(7, 10, 8, 8, 1)",249,0.07923713326454163,0.4108456075191498,0.10123079270124437,0.13782437145709991
"(7, 7, 7, 7, 9, 1)",250,0.0765424519777298,0.2208605855703354,0.09247341752052307,0.10203991085290907
"(7, 7, 9, 11, 1)",250,0.08061686903238298,0.2618325650691986,0.09854733943939208,0.1126331463456154
"(7, 8, 10, 8, 1)",251,0.07903649657964706,0.38521575927734375,0.09430401772260666,0.13313092291355133
"(7, 9, 7, 12, 1)",251,0.07669031620025635,0.2840220034122467,0.09841019660234453,0.11332061141729355
"(7, 12, 11, 1)",251,0.08085189759731293,0.20824480056762693,0.09648283571004868,0.10335907340049744
"(7, 7, 8, 13, 1)",251,0.07754585146903993,0.2576813697814941,0.09856213629245758,0.10937140882015227
"(7, 12, 7, 7, 1)",251,0.07555277645587921,0.23668701946735385,0.09776907414197923,0.10402120649814606
"(7, 9, 9, 8, 1)",251,0.0797749012708664,0.28135770559310913,0.10293129086494446,0.11538956314325333
"(7, 7, 12, 7, 1)",251,0.07937964797019957,0.3051709234714508,0.0921829342842102,0.11927155405282976
"(7, 9, 8, 10, 1)",253,0.0777473896741867,0.5112521648406982,0.10952071100473404,0.15433700382709506
"(7, 8, 7, 14, 1)",254,0.0756060853600502,0.21801713109016416,0.1002722829580307,0.10076658427715304
"(7, 11, 7, 9, 1)",254,0.07361950725317001,0.2674112021923065,0.10911033302545547,0.10785765200853348
"(7, 7, 22, 1)",255,0.07911007106304169,0.19654938578605646,0.09579984843730928,0.09985870867967606
"(7, 11, 8, 7, 1)",255,0.07740268856287003,0.24995256960392,0.09939488768577576,0.10788805782794952
"(7, 13, 10, 1)",255,0.07692825049161911,0.2941949665546417,0.0956013947725296,0.11531399935483932
"(7, 8, 11, 7, 1)",255,0.0788327157497406,0.3001637458801269,0.09817714989185332,0.11793643236160276
"(7, 8, 19, 1)",255,0.07771946489810944,0.20836032927036285,0.0952332466840744,0.10080043971538544
"(7, 16, 7, 1)",255,0.07731446623802185,0.35571280121803284,0.09833935648202896,0.1265006810426712
"(7, 8, 9, 10, 1)",256,0.07800774276256561,0.28998035192489624,0.09656726568937304,0.11545811593532562
"(7, 8, 7, 7, 8, 1)",256,0.07740059494972229,0.3036239743232727,0.10344161093235016,0.11736860126256946
"(7, 7, 8, 7, 8, 1)",256,0.07687214761972427,0.2325221300125122,0.0999792292714119,0.10437172651290894
"(7, 15, 8, 1)",257,0.07502985000610353,0.20363299548625946,0.0961497202515602,0.09775088727474213
"(7, 10, 7, 11, 1)",257,0.07802559435367584,0.2613541781902313,0.10169553011655807,0.1104152575135231
"(7, 14, 9, 1)",257,0.07578619569540024,0.23094752430915835,0.10166501998901367,0.10319942235946657
"(7, 7, 10, 10, 1)",257,0.07745926082134247,0.42754408717155457,0.09431472420692444,0.1393105685710907
"(7, 7, 7, 16, 1)",257,0.07748875766992569,0.23624591529369354,0.09838881343603134,0.10553719103336334
"(7, 7, 7, 8, 8, 1)",257,0.07671373337507248,0.3531419336795807,0.1005471497774124,0.1255517452955246
"(7, 8, 8, 12, 1)",257,0.07948123663663864,0.189112588763237,0.10217569023370744,0.09885036200284958
"(7, 10, 9, 7, 1)",257,0.07538395375013351,0.21038444340229034,0.09504737704992294,0.09923521429300307
"(7, 9, 10, 7, 1)",257,0.07422777265310287,0.36168035864830017,0.0986640602350235,0.12501373887062073
"(7, 11, 13, 1)",258,0.07834364473819733,0.31967151165008545,0.0957302302122116,0.12098027020692825
"(7, 10, 8, 9, 1)",259,0.07657881081104279,0.2485688626766205,0.09784870594739914,0.1069651022553444
"(7, 7, 7, 7, 10, 1)",259,0.07985745370388031,0.41579434275627136,0.10191240906715393,0.13920916616916654
"(7, 9, 7, 13, 1)",260,0.07752158492803574,0.3975186347961426,0.09829304367303847,0.13405705988407135
"(7, 9, 17, 1)",260,0.08080533891916275,0.2549666464328766,0.1043156087398529,0.11157532036304474
