Layers,Complexity,MSE Train,MSE Future,MSE Past,MSE Train and Test
"(7, 2, 4, 1, 3, 1)",43,0.3221875727176666,0.13934412598609924,0.06252456456422806,0.3511275053024292
"(7, 2, 2, 2, 2, 2, 1)",43,0.32890585064888,0.7729139924049377,0.058993730694055564,0.3837392032146454
"(7, 2, 1, 2, 3, 2, 1)",43,0.6838658452033997,0.6919800043106079,0.3628029227256775,0.808404803276062
"(7, 2, 1, 1, 3, 3, 1)",43,0.3187079131603241,0.3462552130222321,0.0671561136841774,0.3552088439464569
"(7, 2, 5, 1, 1, 1, 1)",43,0.3247233033180237,0.5328142046928406,0.1594531536102295,0.4180391430854797
"(7, 2, 6, 1, 1)",43,0.3327595889568329,0.259512722492218,0.059778019785881036,0.4159647226333618
"(7, 2, 1, 7, 1, 1)",43,0.2995088696479797,0.3246888220310211,0.0935932919383049,0.3967137634754181
"(7, 3, 1, 1, 2, 2, 1)",43,0.30784931778907776,0.272276371717453,0.1698366105556488,0.4239421486854553
"(7, 2, 2, 4, 1, 1, 1)",43,0.30045032501220703,0.1393338292837143,0.14675351977348328,0.3706116378307343
"(7, 2, 1, 3, 3, 1, 1)",43,0.3126031458377838,0.27499717473983765,0.06273630261421204,0.4757583439350128
"(7, 2, 2, 2, 3, 1, 1)",43,0.3238115310668945,0.24075281620025635,0.04599408060312271,0.4326063394546509
"(7, 4, 1, 1, 1, 1)",43,0.33070337772369385,0.3104409575462341,0.053109653294086456,0.3697879016399384
"(7, 2, 2, 1, 1, 5, 1)",43,0.32101505994796753,0.2621456682682037,0.043993864208459854,0.4513858556747437
"(7, 3, 1, 2, 2, 1, 1)",43,0.3082125782966614,0.2661071121692657,0.06438637524843216,0.3889913260936737
"(7, 3, 2, 2, 1, 1)",43,0.2821370661258697,0.4638777375221253,0.028049036860466003,0.3882081210613251
"(7, 2, 4, 2, 1, 1)",43,0.3031327426433563,0.3053562045097351,0.05478203296661377,0.3635990917682648
"(7, 2, 1, 1, 7, 1)",43,0.30704188346862793,0.4561835825443268,0.08065851032733917,0.3957465589046478
"(7, 3, 1, 4, 1, 1)",43,0.30801039934158325,0.2281637787818909,0.04798887297511102,0.451231837272644
